ID,designation,nos,monthly_capacity,type
1,Managing Director,1,250000,director
2,Plant Department Head,1,166667,director
3,Attendants,2,8000,director
4, Department Head,1,83333.33333,design
5,CAD/CAM Engineer,1,33333,design
6,Simulation & 3 D Modelling Engineer,1,33333,design
7,Patternshop Incharge,1,50000,design
8,Dimension & Customer Support,1,33333,design
9,Tooloing Development & PPAP approval,1,33333,design
10,Department Head,1,83333,production
11,Melting Incharge,1,41667,production
12,Moulding Incharge,1,41667,production
13,Core Shop Incharge,1,41667,production
14,Fettling Incharge,1,25000,production
15,Shot Blasting incharge,1,25000,production
16,Despatch Incharge,1,25000,production
17,PPC Department Head,1,25000,production
18, Material handling  team,20,5000,production
19,Department Head,1,83333,maintenance
20,Electrical Incharge,1,50000,maintenance
21,Mechanical Incharge,1,50000,maintenance
22,Utilities Incharge,1,50000,maintenance
23,Electrical Shift Engineer,5,25000,maintenance
24,Mechanical Shift Engineer,8,25000,maintenance
25,Utilities Shift Engineer,2,25000,maintenance
26,Attendants,20,8000,maintenance
27,Department Head,1,83333,qa/qc
28,Lab Incharge,1,33333,qa/qc
29,Inspection Incharge,1,25000,qa/qc
30,Process Control Incharge,1,25000,qa/qc
31,Lab Engineers,3,20833,qa/qc
32,Attendants,7,8000,qa/qc
33,Department Head,1,83333,marketing
34,Export Business Team Department Lead,1,66667,marketing
35,Domestic Business Team Department Lead,1,66667,marketing
36,Export Business Team Executive,3,33333,marketing
37,Domestic Business Team Executive,3,33333,marketing
38,Department Head,1,83333,finance
39,Accounts Incharge,1,50000,finance
40,Stores Incharge,1,41667,finance
41,Purchase Incharge,1,50000,finance
42,Excise Incharge,1,50000,finance
43,Accounts Staff,5,33333,finance
44,Stores Staff,5,33333,finance
45,Purchase Staff,3,33333,finance
46,Excise Staff,2,33333,finance
47,Attendants,7,12000,finance
48,HR-Department Head,1,83333,human_resource
49,Personnel & Administration Lead,1,75000,human_resource
50,"Staff Management, Counselling & Training  Lead          ",1,50000,human_resource
51,Personnel & Admin Staff,5,25000,human_resource
52,Staff Management & Training Staff,3,25000,human_resource
53,House Keeping  Team,12,72000,human_resource
54,Security (Officer) ,1,25000,human_resource
55,Security (Watchman) ,12,5833,human_resource
56,Attendants,4,8000,human_resource
57,Executive PA To MD),1,41667,strategy_planning
58,Fork lift Operator ,3,66667,other_indirect_labour
59,Supervisor,22,25000,direct_labour
60,Operator,123,8000,direct_labour
61,Skilled,15,10000,direct_labour
62,purchassed parts cost,0,7.2,purchased
63,purchase expense,0,3500000,purchase_expense
64,capacity,0,1000000,capacity
65,CRCA,15,15,CRCA
66,Fe-Si-Mg,10,10,Fe-Si-Mg
67,Fe-Si,6,6,Fe-Si
68,Fe-Mn,6,6,Fe-Mn
69,Cov-Steel,10,10,Cov-Steel
70,Bentonite,15,15,Bentonite
71,Lustron,15,15,Lustron
72,Sand,30,30,Sand
73,Resin,6,6,Resin
74,Hardener,6,6,Hardener
75,Amine,6,6,Amine
