Sl.No,material,cost,recovery,type
1,Coke,24,60,sg_iron
2,Fe-Si,82,70,sg_iron
3,Fe-Mn,63,60,sg_iron
4,Copper,460,99,sg_iron
5,Graphite,54,85,sg_iron
6,Fe-Mo,1100,54,sg_iron
7,New_Sand,3,0,sand_cost
8,Bentonite,6.5,0,sand_cost
9,Lustron,24,0,sand_cost
10,Washed_Sand,3.5,0,cold_cost
11,Resin,85,0,cold_cost
12,Hardener,177,0,cold_cost
13,Amine,162,0,cold_cost
14,Fe-Si-Mg,120,10,treatment_cost
15,Cov_Steel,31.5,10,treatment_cost
16,Preconditioning_Inoculant,82,3,treatment_cost
17,Stream_Inoculant,160,1.61,treatment_cost
18,Preconditioning_Ioculant,29.5,1.5,gray_treatment_cost
19,Stream_Inoculant,78,1.2,gray_treatment_cost
20,crca,31.5,0,crca
21,pig_iron,32,0,pig_iron
22,foundry,31.5,0,foundry
23,boring,22.5,0,boring
24,CPC,50,90,gray_iron
25,Fe-Si,19.5,70,gray_iron
26,Copper,470,99,gray_iron
27,Fe-Mn,61,60,gray_iron
28,Fe-Cr,68,60,gray_iron
29,Tin,1411,100,gray_iron
30,ED Coating,187,0,ed_coating
